# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
9.092514128748829805e-02 -6.831249645107115298e-02 1.147886268720460928e-01 -2.346345990282239224e-02 6.706165570293050326e-02 -1.131615329993199137e-01
1.001576707564547086e-01 -7.434541546907180720e-02 1.242092025943737632e-01 -2.686963545451936247e-02 7.610613891853565405e-02 -1.218211954836242450e-01
1.097847963308350994e-01 -8.045461650762594785e-02 1.338901958739278641e-01 -3.032833562658418178e-02 8.567939678774232071e-02 -1.305808973886677105e-01
1.197970171999845346e-01 -8.660993737630831579e-02 1.438199998023358683e-01 -3.381497719966464199e-02 9.577403459763320082e-02 -1.394048975529519896e-01
1.301844525106951034e-01 -9.278033714997804826e-02 1.539872231216935505e-01 -3.730521798616159845e-02 1.063816818996966701e-01 -1.482554563137944981e-01
1.409368511184055928e-01 -9.893395503996618712e-02 1.643807824113917848e-01 -4.077505277795585165e-02 1.174929198254194285e-01 -1.570928573019765295e-01
1.520436017038428456e-01 -1.050381719604246145e-01 1.749900071729210971e-01 -4.420089200857592326e-02 1.290971962347645940e-01 -1.658754519122732918e-01
1.634937432451133432e-01 -1.110596753706870332e-01 1.858047556833403724e-01 -4.755962004190790460e-02 1.411827308068863140e-01 -1.745597306994661757e-01
1.752759758349082264e-01 -1.169645279923204606e-01 1.968155388887098123e-01 -5.082863012083894960e-02 1.537364127811066405e-01 -1.831004258638019855e-01
1.873786718321473477e-01 -1.227182410040829341e-01 2.080136490520580195e-01 -5.398583318652591667e-02 1.667436946122366759e-01 -1.914506488216399238e-01
1.997898873370579365e-01 -1.282858523089617786e-01 2.193912893345427995e-01 -5.700963801009194254e-02 1.801884853395730735e-01 -1.995620666078316008e-01
2.124973739783607152e-01 -1.336320104447090706e-01 2.309416999361817435e-01 -5.987890037072646915e-02 1.940530480205396868e-01 -2.073851205186916791e-01
2.254885910009341021e-01 -1.387210646729047092e-01 2.426592758043666087e-01 -6.257283939158618524e-02 2.083179061975015955e-01 -2.148692899542232193e-01
2.387507176420255450e-01 -1.435171617317789194e-01 2.545396701799448325e-01 -6.507091965712276382e-02 2.229617651041062854e-01 -2.219634038064350889e-01
2.522706657837961997e-01 -1.479843496752631937e-01 2.665798773463404214e-01 -6.735269846580189956e-02 2.379614542212519501e-01 -2.286160008847245018e-01
2.660350928697132744e-01 -1.520866891456065795e-01 2.787782868612869724e-01 -6.939763864281336958e-02 2.532918988781395764e-01 -2.347757396483997894e-01
2.800304150720424046e-01 -1.557883723401653764e-01 2.911347003267161782e-01 -7.118488890721078044e-02 2.689261298173686310e-01 -2.403918557731199723e-01
2.942428206974455618e-01 -1.590538498356020569e-01 3.036503005281462886e-01 -7.269303603669621805e-02 2.848353408667448350e-01 -2.454146636345078958e-01
3.086582838174550814e-01 -1.618479653257928197e-01 3.163275618180762527e-01 -7.389983616483844497e-02 3.009890058168339100e-01 -2.497960944867472222e-01
3.232625781103714013e-01 -1.641360982144946246e-01 3.291700903479460316e-01 -7.478193656485382368e-02 3.173550658727967710e-01 -2.534902598641354254e-01
3.380412909009252731e-01 -1.658843138816201712e-01 3.421823837320032702e-01 -7.531460413779214602e-02 3.339001980698472760e-01 -2.564540236254481687e-01
3.529798373838480829e-01 -1.670595213142987978e-01 3.553695025924489270e-01 -7.547148217580484930e-02 3.505901721752472389e-01 -2.586475604527928018e-01
3.680634750173135128e-01 -1.676296376623376549e-01 3.687366517619891648e-01 -7.522440209828416824e-02 3.673902982726378608e-01 -2.600348732263911278e-01
3.832773180720472350e-01 -1.675637591439042007e-01 3.822886769955017860e-01 -7.454328066297415123e-02 3.842659591485926840e-01 -2.605842376248342918e-01
3.986063523217437399e-01 -1.668323375929399166e-01 3.960294936044984615e-01 -7.339613425771893129e-02 4.011832110389890182e-01 -2.602685409281608742e-01
4.140354498602952238e-01 -1.654073618067512519e-01 4.099614754355221380e-01 -7.174923889149650846e-02 4.181094242850683096e-01 -2.590654847220059676e-01
4.295493840312086808e-01 -1.632625427221843228e-01 4.240848441787658518e-01 -6.956745645156285629e-02 4.350139238836515099e-01 -2.569576289928057755e-01
4.451328444544774277e-01 -1.603735013235514928e-01 4.383971075947850071e-01 -6.681473460884632121e-02 4.518685813141698482e-01 -2.539322680382566366e-01
4.607704521360774796e-01 -1.567179580668049410e-01 4.528925982758963964e-01 -6.345477064493522390e-02 4.686483059962585629e-01 -2.499811454886746442e-01
4.764467746451786501e-01 -1.522759224940481992e-01 4.675621601034051222e-01 -5.945181096241474589e-02 4.853313891869521779e-01 -2.451000340256816457e-01
4.921463413440896884e-01 -1.470298816120063079e-01 4.823930171841494530e-01 -5.477154152262046077e-02 5.018996655040299792e-01 -2.392882217013921342e-01
5.078536586559102561e-01 -1.409649855190932555e-01 4.973688412160259253e-01 -4.938201334132724662e-02 5.183384760957945314e-01 -2.325479576968592643e-01
5.235532253548212944e-01 -1.340692286896978946e-01 5.124700111412079373e-01 -4.325454387048863203e-02 5.346364395684346515e-01 -2.248839135089071295e-01
5.392295478639224093e-01 -1.263336252625936740e-01 5.276740377360858991e-01 -3.636454023056905072e-02 5.507850579917589195e-01 -2.163027102946183111e-01
5.548671555455225723e-01 -1.177523766341715405e-01 5.429561093844185171e-01 -2.869220247795375989e-02 5.667782017066266276e-01 -2.068125507903893212e-01
5.704506159687913192e-01 -1.083230296275533577e-01 5.582897063274185889e-01 -2.022308151423754530e-02 5.826115256101640494e-01 -1.964229777408691702e-01
5.859645501397048317e-01 -9.804662349644324704e-02 5.736472299477510806e-01 -1.094848337790851021e-02 5.982818703316585829e-01 -1.851447636149780029e-01
6.013936476782560936e-01 -8.692782402852625157e-02 5.890006000631942129e-01 -8.657263978017705128e-04 6.137866952933179743e-01 -1.729899216592507560e-01
6.167226819279525429e-01 -7.497504303783242285e-02 6.043217844698151042e-01 1.002173197694897905e-02 6.291235793860899816e-01 -1.599718180526138178e-01
6.319365249826862652e-01 -6.220054157907339842e-02 6.195832383308670366e-01 2.170427658648843225e-02 6.442898116345054937e-01 -1.461053597446352326e-01
6.470201626161519171e-01 -4.862051527961486208e-02 6.347582439859310588e-01 3.416620142159032536e-02 6.592820812463727753e-01 -1.314072319808200495e-01
6.619587090990746159e-01 -3.425516026639530143e-02 6.498211526153531148e-01 4.738584178317518936e-02 6.740962655827961170e-01 -1.158961623159657922e-01
6.767374218896284876e-01 -1.912871826539741527e-02 6.647475370585147481e-01 6.133575608674754487e-02 6.887273067207422272e-01 -9.959319261754237540e-02
6.913417161825448076e-01 -3.269499569717115861e-03 6.795142698186525942e-01 7.598294668758562298e-02 7.031691625464370210e-01 -8.252194582701985470e-02
7.057571793025543272e-01 1.329011729189299995e-02 6.940995422705951157e-01 9.128911367007704059e-02 7.174148163345135387e-01 -6.470887908629104068e-02
