# camberline.x, camberline.y, pressureLine.x, pressureLine.y, suctionLine.x, suctionLine.y
1.752759758349082264e-01 -6.935451037477004602e-03 1.753362396224361908e-01 -2.826908756574022987e-03 1.724854517530104991e-01 -1.973168108789621622e-01
1.873786718321473477e-01 -7.176602297692843274e-03 1.874022405089469101e-01 -5.225189380069623218e-03 1.849846143176031299e-01 -2.057466934691768445e-01
1.997898873370579365e-01 -7.380863713114550577e-03 1.997877085763522798e-01 -7.617831161780023660e-03 1.978606396852416460e-01 -2.136228775583759731e-01
2.124973739783607152e-01 -7.541095085898266194e-03 2.124814641552289496e-01 -9.976792610211886181e-03 2.111010206755223051e-01 -2.208976533654353480e-01
2.254885910009341021e-01 -7.649291854461444211e-03 2.254718601542469725e-01 -1.227357767557570381e-02 2.246920953511062080e-01 -2.275312974186528558e-01
2.387507176420255450e-01 -7.696503064930796355e-03 2.387467645240763381e-01 -1.447935801654714680e-02 2.386189967344898299e-01 -2.334919666524450654e-01
2.522706657837961997e-01 -7.672751913913312440e-03 2.522935407503276717e-01 -1.656508066063483442e-02 2.528656100259533135e-01 -2.387553643383845126e-01
2.660350928697132744e-01 -7.566960817299843434e-03 2.660990278733278425e-01 -1.850156188890134112e-02 2.674145414536833187e-01 -2.433041976558172059e-01
2.800304150720424046e-01 -7.366883075414177792e-03 2.801495219433157158e-01 -2.025956880563926574e-02 2.822471022284322451e-01 -2.471274528631952627e-01
2.942428206974455618e-01 -7.059043288656891013e-03 2.944307611154199922e-01 -2.180989061977153115e-02 2.973433100935556350e-01 -2.502195193484822999e-01
3.086582838174550814e-01 -6.628688726110270636e-03 3.089279167477224641e-01 -2.312340214197009317e-02 3.126819098352833226e-01 -2.525791981616899995e-01
3.232625781103714013e-01 -6.059753859141701546e-03 3.236255928766103018e-01 -2.417112236551694632e-02 3.282404130526299646e-01 -2.542086338378500288e-01
3.380412909009252731e-01 -5.334840240251013943e-03 3.385078363057195117e-01 -2.492427122777272908e-02 3.439951566859520971e-01 -2.551122103045416201e-01
3.529798373838480829e-01 -4.435213832322995597e-03 3.535581592663341044e-01 -2.535432772444023639e-02 3.599213794430572988e-01 -2.552954523594165859e-01
3.680634750173135128e-01 -3.340821773890261664e-03 3.687595762029673985e-01 -2.543309245748802405e-02 3.759933154600770266e-01 -2.547639735467561728e-01
3.832773180720472350e-01 -2.030330401608012800e-03 3.840946557261354921e-01 -2.513275743340736071e-02 3.921843053274948754e-01 -2.535225092238355127e-01
3.986063523217437399e-01 -4.811861423556426653e-04 3.995455881729297332e-01 -2.442598549399222288e-02 4.084669259355419579e-01 -2.515740701724003547e-01
4.140354498602952238e-01 1.330299364463969486e-03 4.150942685393939069e-01 -2.328600117063706065e-02 4.248131422710249572e-01 -2.489192472861088412e-01
4.295493840312086808e-01 3.428838846561688830e-03 4.307223938059703272e-01 -2.168669403230600798e-02 4.411944860382051581e-01 -2.455556916955728419e-01
4.451328444544774277e-01 5.840032942983918590e-03 4.464115728722399257e-01 -1.960273478999827179e-02 4.575822673835165944e-01 -2.414777872810779658e-01
4.607704521360774796e-01 8.590207340004908654e-03 4.621434464516427920e-01 -1.700970358814606759e-02 4.739478266030573983e-01 -2.366765240620772315e-01
4.764467746451786501e-01 1.170622351946603093e-02 4.778998133576128904e-01 -1.388422913631855680e-02 4.902628319975090854e-01 -2.311395717647131975e-01
4.921463413440896884e-01 1.521526355788128948e-02 4.936627586620767061e-01 -1.020413670968650308e-02 5.064996275501401080e-01 -2.248515434440943039e-01
5.078536586559102561e-01 1.914458984997335911e-02 5.094147782770271915e-01 -5.948602679276770132e-03 5.226316295270787560e-01 -2.177944300562739965e-01
5.235532253548212944e-01 2.352128107683269104e-02 5.251388936928880202e-01 -1.098313221669875881e-03 5.386337643997911595e-01 -2.099481791891431859e-01
5.392295478639224093e-01 2.837194618952797176e-02 5.408187500448613516e-01 4.364374729347146771e-03 5.544829320443606102e-01 -2.012913857229021164e-01
5.548671555455225723e-01 3.372241862631381731e-02 5.564386905537550554e-01 1.045527138147585473e-02 5.701584688720727767e-01 -1.918020598954028599e-01
5.704506159687913192e-01 3.959743341792418964e-02 5.719838009009925450e-01 1.718819072922333352e-02 5.856425768140065546e-01 -1.814584397099705537e-01
5.859645501397048317e-01 4.602029025306349219e-02 5.874399184183946021e-01 2.457478448448730673e-02 6.009206777471056693e-01 -1.702398199145107871e-01
6.013936476782560936e-01 5.301250596739427029e-02 6.027936031776838233e-01 3.262437060213523032e-02 6.159816509383716499e-01 -1.581273782098717440e-01
6.167226819279525429e-01 6.059346027653939731e-02 6.180320710704340081e-01 4.134375295922255306e-02 6.308179149595122270e-01 -1.451049893886896536e-01
6.319365249826862652e-01 6.878003888963460377e-02 6.331430924968088902e-01 5.073702880275530319e-02 6.454253259568394352e-01 -1.311600275789578385e-01
6.470201626161519171e-01 7.758627840801887721e-02 6.481148638643986493e-01 6.080538165521779531e-02 6.598028805121570750e-01 -1.162841632696371696e-01
6.619587090990746159e-01 8.702301762751865621e-02 6.629358621577075006e-01 7.154685946236709337e-02 6.739522315353214665e-01 -1.004741633519922323e-01
6.767374218896284876e-01 9.709756001698208183e-02 6.775946948117580471e-01 8.295614063743575461e-02 6.878770465005794588e-01 -8.373269810497212251e-02
6.913417161825448076e-01 1.078133522355494422e-01 6.920799576110661100e-01 9.502429383530486273e-02 7.015822552634656262e-01 -6.606914943030235687e-02
7.057571793025543272e-01 1.191696835728444093e-01 7.063801122186780246e-01 1.077385402017780741e-01 7.150732465294082907e-01 -4.750040167818597725e-02
7.199695849279575954e-01 1.311614111470540134e-01 7.204833924185841676e-01 1.210820289431195490e-01 7.283550759087535909e-01 -2.805158301994673670e-02
7.339649071302866146e-01 1.437787155740440082e-01 7.343777446942543197e-01 1.350336379786122865e-01 7.414317441853909285e-01 -7.756714607072339937e-03
7.477293342162038003e-01 1.570068916256559810e-01 7.480508049723232356e-01 1.495678110588316845e-01 7.543055933434236193e-01 1.334078084452884443e-02
7.612492823579743995e-01 1.708261781277425895e-01 7.614899098284351187e-01 1.646544411985884915e-01 7.669768525181338559e-01 3.518775863739408150e-02
7.745114089990658979e-01 1.852116310101092067e-01 7.746821376380836899e-01 1.802588079217452011e-01 7.794433492074414049e-01 5.772126039840995426e-02
7.875026260216391183e-01 2.001330430142691519e-01 7.876143733073736053e-01 1.963415730666738246e-01 7.917003853337772901e-01 8.086867959635071768e-02
8.002101126629419525e-01 2.155549130949317438e-01 8.002733893744784499e-01 2.128588371580021621e-01 8.037407648722226794e-01 1.045481975759162685e-01
8.126213281678524858e-01 2.314364680226020099e-01 8.126459363050876350e-01 2.297622559202550097e-01 8.155549506541281968e-01 1.286694871970196496e-01
8.247240241650917181e-01 2.477317381138999242e-01 8.247188354926767717e-01 2.469992145731701172e-01 8.271313227169700966e-01 1.531346657638592845e-01
8.365062567548865458e-01 2.643896883903823491e-01 8.364790695682989830e-01 2.645130561659822521e-01 8.384565087439793674e-01 1.778394657017446645e-01
8.479563982961570989e-01 2.813544058039300633e-01 8.479138658994737066e-01 2.822433593447410405e-01 8.495157579739796017e-01 2.026745812096283073e-01
8.590631488815942962e-01 2.985653424759582841e-01 8.590107704388892929e-01 3.001262605122517746e-01 8.602933326483814813e-01 2.275271422089093776e-01
8.698155474893048966e-01 3.159576141883275735e-01 8.697577102545610561e-01 3.180948152217119573e-01 8.707728948625964582e-01 2.522822632753862759e-01
8.802029828000155209e-01 3.334623526458023179e-01 8.801430440696601520e-01 3.360793937322848479e-01 8.809378710159798676e-01 2.768246145876376851e-01
8.902152036691648451e-01 3.510071093135483933e-01 8.901556009385775958e-01 3.540081058546597492e-01 8.907717804819816898e-01 3.010399638261677113e-01
8.998423292435453469e-01 3.685163079288780730e-01 8.997847077886081957e-01 3.718072504569606140e-01 9.002585193636989391e-01 3.248166419378887282e-01
9.090748587125118130e-01 3.859117421047486562e-01 9.090202069818460462e-01 3.894017852390719847e-01 9.093825940822285459e-01 3.480468912663085557e-01
9.179036806841349705e-01 4.031131137936604936e-01 9.178524653238077091e-01 4.067158125888764575e-01 9.181293029627489721e-01 3.706280612946542541e-01
9.263200821770460891e-01 4.200386077745369429e-01 9.262723760894689962e-01 4.236730774943553990e-01 9.264848668800692577e-01 3.924636247536474332e-01
9.343157572190955440e-01 4.366054967713896007e-01 9.342713556775520400e-01 4.401974735987992382e-01 9.344365123747450097e-01 4.134639947482183220e-01
9.418828150443467884e-01 4.527307713199092420e-01 9.418413364609329319e-01 4.562135535570319145e-01 9.419725124453665055e-01 4.335471315415453386e-01
9.490137878803077687e-01 4.683317880745261341e-01 9.489747572928546315e-01 4.716470398869055392e-01 9.490821914697223916e-01 4.526389354249048536e-01
9.557016383177225904e-01 4.833269299011666020e-01 9.556645529707866737e-01 4.864253325228491409e-01 9.557559014288100618e-01 4.706734294622553771e-01
9.619397662556433692e-01 4.976362708357914832e-01 9.619041437658446547e-01 5.004780092778249312e-01 9.619849768389768796e-01 4.875927426321337577e-01
9.677220154149336340e-01 5.111822388108461235e-01 9.676874259081004181e-01 5.137373154177207191e-01 9.677616755897371359e-01 5.033469098378759998e-01
9.730426794137726487e-01 5.238902689645034139e-01 9.730087636882577273e-01 5.261386385582013103e-01 9.730791123031986567e-01 5.178935102996663487e-01
