#     x             y        x_tangent     y_tangent     x_normal      y_normal
+3.22780E-02  -3.73254E-02  +6.66303E-01  -7.45681E-01  +7.45681E-01  +6.66303E-01
+3.33977E-02  -3.85770E-02  +6.67196E-01  -7.44882E-01  +7.44882E-01  +6.67196E-01
+3.45358E-02  -3.98460E-02  +6.68109E-01  -7.44064E-01  +7.44064E-01  +6.68109E-01
+3.56923E-02  -4.11324E-02  +6.69041E-01  -7.43226E-01  +7.43226E-01  +6.69041E-01
+3.68671E-02  -4.24358E-02  +6.69993E-01  -7.42368E-01  +7.42368E-01  +6.69993E-01
+3.80602E-02  -4.37561E-02  +6.70965E-01  -7.41489E-01  +7.41489E-01  +6.70965E-01
+3.92716E-02  -4.50929E-02  +6.71957E-01  -7.40591E-01  +7.40591E-01  +6.71957E-01
+4.05011E-02  -4.64462E-02  +6.72969E-01  -7.39671E-01  +7.39671E-01  +6.72969E-01
+4.17488E-02  -4.78156E-02  +6.74002E-01  -7.38730E-01  +7.38730E-01  +6.74002E-01
+4.30146E-02  -4.92010E-02  +6.75055E-01  -7.37767E-01  +7.37767E-01  +6.75055E-01
+4.42984E-02  -5.06020E-02  +6.76129E-01  -7.36783E-01  +7.36783E-01  +6.76129E-01
+4.56002E-02  -5.20185E-02  +6.77225E-01  -7.35776E-01  +7.35776E-01  +6.77225E-01
+4.69199E-02  -5.34501E-02  +6.78341E-01  -7.34747E-01  +7.34747E-01  +6.78341E-01
+4.82575E-02  -5.48967E-02  +6.79479E-01  -7.33695E-01  +7.33695E-01  +6.79479E-01
+4.96130E-02  -5.63580E-02  +6.80639E-01  -7.32619E-01  +7.32619E-01  +6.80639E-01
+5.09862E-02  -5.78337E-02  +6.81820E-01  -7.31520E-01  +7.31520E-01  +6.81820E-01
+5.23772E-02  -5.93236E-02  +6.83023E-01  -7.30397E-01  +7.30397E-01  +6.83023E-01
+5.37858E-02  -6.08274E-02  +6.84249E-01  -7.29249E-01  +7.29249E-01  +6.84249E-01
+5.52121E-02  -6.23449E-02  +6.85496E-01  -7.28076E-01  +7.28076E-01  +6.85496E-01
+5.66559E-02  -6.38757E-02  +6.86766E-01  -7.26878E-01  +7.26878E-01  +6.86766E-01
+5.81172E-02  -6.54196E-02  +6.88059E-01  -7.25654E-01  +7.25654E-01  +6.88059E-01
+5.95959E-02  -6.69763E-02  +6.89375E-01  -7.24405E-01  +7.24405E-01  +6.89375E-01
+6.10921E-02  -6.85456E-02  +6.90714E-01  -7.23128E-01  +7.23128E-01  +6.90714E-01
+6.26056E-02  -7.01271E-02  +6.92076E-01  -7.21825E-01  +7.21825E-01  +6.92076E-01
+6.41363E-02  -7.17206E-02  +6.93461E-01  -7.20494E-01  +7.20494E-01  +6.93461E-01
+6.56842E-02  -7.33257E-02  +6.94870E-01  -7.19135E-01  +7.19135E-01  +6.94870E-01
+6.72493E-02  -7.49423E-02  +6.96303E-01  -7.17748E-01  +7.17748E-01  +6.96303E-01
+6.88315E-02  -7.65699E-02  +6.97760E-01  -7.16332E-01  +7.16332E-01  +6.97760E-01
+7.04307E-02  -7.82082E-02  +6.99240E-01  -7.14887E-01  +7.14887E-01  +6.99240E-01
+7.20469E-02  -7.98571E-02  +7.00746E-01  -7.13411E-01  +7.13411E-01  +7.00746E-01
+7.36799E-02  -8.15161E-02  +7.02276E-01  -7.11905E-01  +7.11905E-01  +7.02276E-01
+7.53298E-02  -8.31850E-02  +7.03830E-01  -7.10368E-01  +7.10368E-01  +7.03830E-01
+7.69964E-02  -8.48634E-02  +7.05409E-01  -7.08800E-01  +7.08800E-01  +7.05409E-01
+7.86798E-02  -8.65510E-02  +7.07014E-01  -7.07200E-01  +7.07200E-01  +7.07014E-01
+8.03798E-02  -8.82475E-02  +7.08644E-01  -7.05566E-01  +7.05566E-01  +7.08644E-01
+8.20963E-02  -8.99526E-02  +7.10299E-01  -7.03900E-01  +7.03900E-01  +7.10299E-01
+8.38294E-02  -9.16659E-02  +7.11980E-01  -7.02200E-01  +7.02200E-01  +7.11980E-01
+8.55788E-02  -9.33872E-02  +7.13686E-01  -7.00465E-01  +7.00465E-01  +7.13686E-01
+8.73447E-02  -9.51160E-02  +7.15419E-01  -6.98696E-01  +6.98696E-01  +7.15419E-01
+8.91268E-02  -9.68521E-02  +7.17177E-01  -6.96891E-01  +6.96891E-01  +7.17177E-01
+9.09251E-02  -9.85951E-02  +7.18962E-01  -6.95049E-01  +6.95049E-01  +7.18962E-01
+9.27396E-02  -1.00345E-01  +7.20774E-01  -6.93170E-01  +6.93170E-01  +7.20774E-01
+9.45702E-02  -1.02100E-01  +7.22612E-01  -6.91254E-01  +6.91254E-01  +7.22612E-01
+9.64168E-02  -1.03862E-01  +7.24477E-01  -6.89299E-01  +6.89299E-01  +7.24477E-01
+9.82793E-02  -1.05629E-01  +7.26368E-01  -6.87306E-01  +6.87306E-01  +7.26368E-01
