#     x       bernstein00   bernstein01   bernstein02   bernstein03
+3.51759E-01  +4.08603E-02  +8.86889E-02  +7.21887E-02  +1.30574E-02
+3.56784E-01  +3.99174E-02  +8.85667E-02  +7.36902E-02  +1.36250E-02
+3.61809E-01  +3.89891E-02  +8.84162E-02  +7.51886E-02  +1.42089E-02
+3.66834E-01  +3.80753E-02  +8.82381E-02  +7.66831E-02  +1.48092E-02
+3.71859E-01  +3.71759E-02  +8.80326E-02  +7.81730E-02  +1.54261E-02
+3.76884E-01  +3.62908E-02  +8.78004E-02  +7.96577E-02  +1.60600E-02
+3.81910E-01  +3.54199E-02  +8.75419E-02  +8.11364E-02  +1.67110E-02
+3.86935E-01  +3.45630E-02  +8.72574E-02  +8.26085E-02  +1.73794E-02
+3.91960E-01  +3.37200E-02  +8.69476E-02  +8.40733E-02  +1.80653E-02
+3.96985E-01  +3.28909E-02  +8.66127E-02  +8.55300E-02  +1.87691E-02
+4.02010E-01  +3.20755E-02  +8.62533E-02  +8.69782E-02  +1.94909E-02
+4.07035E-01  +3.12736E-02  +8.58699E-02  +8.84169E-02  +2.02310E-02
+4.12060E-01  +3.04852E-02  +8.54629E-02  +8.98456E-02  +2.09896E-02
+4.17085E-01  +2.97102E-02  +8.50327E-02  +9.12636E-02  +2.17669E-02
+4.22111E-01  +2.89485E-02  +8.45799E-02  +9.26701E-02  +2.25632E-02
+4.27136E-01  +2.81998E-02  +8.41048E-02  +9.40646E-02  +2.33786E-02
+4.32161E-01  +2.74642E-02  +8.36079E-02  +9.54462E-02  +2.42135E-02
+4.37186E-01  +2.67415E-02  +8.30897E-02  +9.68144E-02  +2.50680E-02
+4.42211E-01  +2.60316E-02  +8.25507E-02  +9.81684E-02  +2.59424E-02
+4.47236E-01  +2.53344E-02  +8.19912E-02  +9.95075E-02  +2.68369E-02
+4.52261E-01  +2.46497E-02  +8.14118E-02  +1.00831E-01  +2.77517E-02
+4.57286E-01  +2.39775E-02  +8.08129E-02  +1.02139E-01  +2.86871E-02
+4.62312E-01  +2.33176E-02  +8.01950E-02  +1.03429E-01  +2.96432E-02
+4.67337E-01  +2.26699E-02  +7.95585E-02  +1.04702E-01  +3.06204E-02
+4.72362E-01  +2.20343E-02  +7.89039E-02  +1.05957E-01  +3.16188E-02
+4.77387E-01  +2.14108E-02  +7.82316E-02  +1.07192E-01  +3.26387E-02
+4.82412E-01  +2.07991E-02  +7.75421E-02  +1.08408E-01  +3.36803E-02
+4.87437E-01  +2.01991E-02  +7.68359E-02  +1.09604E-01  +3.47438E-02
+4.92462E-01  +1.96108E-02  +7.61134E-02  +1.10779E-01  +3.58295E-02
+4.97487E-01  +1.90341E-02  +7.53750E-02  +1.11932E-01  +3.69375E-02
+5.02513E-01  +1.84688E-02  +7.46212E-02  +1.13062E-01  +3.80682E-02
+5.07538E-01  +1.79147E-02  +7.38526E-02  +1.14170E-01  +3.92217E-02
+5.12563E-01  +1.73719E-02  +7.30694E-02  +1.15254E-01  +4.03982E-02
+5.17588E-01  +1.68401E-02  +7.22723E-02  +1.16313E-01  +4.15981E-02
+5.22613E-01  +1.63193E-02  +7.14616E-02  +1.17347E-01  +4.28215E-02
+5.27638E-01  +1.58094E-02  +7.06378E-02  +1.18356E-01  +4.40687E-02
+5.32663E-01  +1.53102E-02  +6.98013E-02  +1.19338E-01  +4.53398E-02
+5.37688E-01  +1.48216E-02  +6.89527E-02  +1.20293E-01  +4.66351E-02
+5.42714E-01  +1.43435E-02  +6.80924E-02  +1.21219E-01  +4.79549E-02
+5.47739E-01  +1.38758E-02  +6.72208E-02  +1.22118E-01  +4.92994E-02
+5.52764E-01  +1.34184E-02  +6.63384E-02  +1.22987E-01  +5.06687E-02
+5.57789E-01  +1.29712E-02  +6.54456E-02  +1.23826E-01  +5.20632E-02
+5.62814E-01  +1.25340E-02  +6.45429E-02  +1.24635E-01  +5.34830E-02
+5.67839E-01  +1.21067E-02  +6.36308E-02  +1.25412E-01  +5.49285E-02
+5.72864E-01  +1.16893E-02  +6.27097E-02  +1.26157E-01  +5.63997E-02
+5.77889E-01  +1.12816E-02  +6.17801E-02  +1.26870E-01  +5.78969E-02
+5.82915E-01  +1.08834E-02  +6.08424E-02  +1.27549E-01  +5.94205E-02
+5.87940E-01  +1.04948E-02  +5.98971E-02  +1.28194E-01  +6.09705E-02
+5.92965E-01  +1.01155E-02  +5.89446E-02  +1.28805E-01  +6.25472E-02
+5.97990E-01  +9.74545E-03  +5.79854E-02  +1.29380E-01  +6.41509E-02
+6.03015E-01  +9.38455E-03  +5.70200E-02  +1.29919E-01  +6.57818E-02
+6.08040E-01  +9.03266E-03  +5.60488E-02  +1.30421E-01  +6.74401E-02
+6.13065E-01  +8.68969E-03  +5.50723E-02  +1.30886E-01  +6.91260E-02
+6.18090E-01  +8.35551E-03  +5.40909E-02  +1.31313E-01  +7.08398E-02
+6.23116E-01  +8.03001E-03  +5.31051E-02  +1.31701E-01  +7.25817E-02
+6.28141E-01  +7.71307E-03  +5.21153E-02  +1.32049E-01  +7.43519E-02
+6.33166E-01  +7.40458E-03  +5.11221E-02  +1.32357E-01  +7.61507E-02
+6.38191E-01  +7.10443E-03  +5.01257E-02  +1.32624E-01  +7.79782E-02
+6.43216E-01  +6.81251E-03  +4.91268E-02  +1.32850E-01  +7.98347E-02
+6.48241E-01  +6.52869E-03  +4.81258E-02  +1.33033E-01  +8.17205E-02
+6.53266E-01  +6.25287E-03  +4.71231E-02  +1.33174E-01  +8.36358E-02
+6.58291E-01  +5.98493E-03  +4.61191E-02  +1.33271E-01  +8.55807E-02
+6.63317E-01  +5.72475E-03  +4.51144E-02  +1.33323E-01  +8.75556E-02
+6.68342E-01  +5.47222E-03  +4.41094E-02  +1.33331E-01  +8.95606E-02
+6.73367E-01  +5.22724E-03  +4.31046E-02  +1.33293E-01  +9.15960E-02
+6.78392E-01  +4.98967E-03  +4.21004E-02  +1.33208E-01  +9.36620E-02
+6.83417E-01  +4.75942E-03  +4.10972E-02  +1.33077E-01  +9.57588E-02
+6.88442E-01  +4.53636E-03  +4.00955E-02  +1.32897E-01  +9.78867E-02
+6.93467E-01  +4.32038E-03  +3.90959E-02  +1.32670E-01  +1.00046E-01
+6.98492E-01  +4.11136E-03  +3.80986E-02  +1.32393E-01  +1.02237E-01
+7.03518E-01  +3.90920E-03  +3.71043E-02  +1.32066E-01  +1.04459E-01
+7.08543E-01  +3.71378E-03  +3.61133E-02  +1.31689E-01  +1.06713E-01
+7.13568E-01  +3.52498E-03  +3.51261E-02  +1.31261E-01  +1.09000E-01
+7.18593E-01  +3.34269E-03  +3.41432E-02  +1.30781E-01  +1.11319E-01
+7.23618E-01  +3.16680E-03  +3.31650E-02  +1.30248E-01  +1.13671E-01
+7.28643E-01  +2.99718E-03  +3.21920E-02  +1.29662E-01  +1.16056E-01
+7.33668E-01  +2.83374E-03  +3.12246E-02  +1.29022E-01  +1.18473E-01
+7.38693E-01  +2.67634E-03  +3.02633E-02  +1.28328E-01  +1.20924E-01
+7.43719E-01  +2.52489E-03  +2.93085E-02  +1.27578E-01  +1.23409E-01
+7.48744E-01  +2.37926E-03  +2.83608E-02  +1.26773E-01  +1.25928E-01
+7.53769E-01  +2.23934E-03  +2.74205E-02  +1.25910E-01  +1.28480E-01
+7.58794E-01  +2.10502E-03  +2.64881E-02  +1.24991E-01  +1.31067E-01
+7.63819E-01  +1.97618E-03  +2.55641E-02  +1.24013E-01  +1.33688E-01
+7.68844E-01  +1.85270E-03  +2.46490E-02  +1.22977E-01  +1.36344E-01
+7.73869E-01  +1.73448E-03  +2.37431E-02  +1.21881E-01  +1.39035E-01
+7.78894E-01  +1.62140E-03  +2.28470E-02  +1.20726E-01  +1.41761E-01
+7.83920E-01  +1.51334E-03  +2.19611E-02  +1.19509E-01  +1.44523E-01
+7.88945E-01  +1.41020E-03  +2.10858E-02  +1.18231E-01  +1.47320E-01
+7.93970E-01  +1.31185E-03  +2.02217E-02  +1.16891E-01  +1.50153E-01
+7.98995E-01  +1.21818E-03  +1.93691E-02  +1.15488E-01  +1.53022E-01
+8.04020E-01  +1.12908E-03  +1.85285E-02  +1.14022E-01  +1.55927E-01
+8.09045E-01  +1.04444E-03  +1.77005E-02  +1.12491E-01  +1.58869E-01
+8.14070E-01  +9.64134E-04  +1.68854E-02  +1.10896E-01  +1.61848E-01
+8.19095E-01  +8.88054E-04  +1.60837E-02  +1.09235E-01  +1.64864E-01
+8.24121E-01  +8.16086E-04  +1.52958E-02  +1.07508E-01  +1.67917E-01
+8.29146E-01  +7.48116E-04  +1.45222E-02  +1.05713E-01  +1.71007E-01
+8.34171E-01  +6.84028E-04  +1.37635E-02  +1.03852E-01  +1.74135E-01
+8.39196E-01  +6.23709E-04  +1.30199E-02  +1.01922E-01  +1.77301E-01
+8.44221E-01  +5.67044E-04  +1.22921E-02  +9.99226E-02  +1.80505E-01
+8.49246E-01  +5.13920E-04  +1.15803E-02  +9.78539E-02  +1.83748E-01
+8.54271E-01  +4.64222E-04  +1.08852E-02  +9.57148E-02  +1.87029E-01
+8.59296E-01  +4.17836E-04  +1.02071E-02  +9.35047E-02  +1.90349E-01
+8.64322E-01  +3.74648E-04  +9.54658E-03  +9.12229E-02  +1.93708E-01
+8.69347E-01  +3.34543E-04  +8.90399E-03  +8.88687E-02  +1.97106E-01
+8.74372E-01  +2.97408E-04  +8.27983E-03  +8.64414E-02  +2.00544E-01
+8.79397E-01  +2.63127E-04  +7.67454E-03  +8.39403E-02  +2.04022E-01
+8.84422E-01  +2.31588E-04  +7.08860E-03  +8.13648E-02  +2.07539E-01
+8.89447E-01  +2.02675E-04  +6.52245E-03  +7.87141E-02  +2.11097E-01
+8.94472E-01  +1.76275E-04  +5.97655E-03  +7.59876E-02  +2.14695E-01
+8.99497E-01  +1.52273E-04  +5.45136E-03  +7.31845E-02  +2.18334E-01
+9.04523E-01  +1.30555E-04  +4.94734E-03  +7.03043E-02  +2.22014E-01
+9.09548E-01  +1.11007E-04  +4.46494E-03  +6.73462E-02  +2.25734E-01
+9.14573E-01  +9.35145E-05  +4.00462E-03  +6.43095E-02  +2.29497E-01
+9.19598E-01  +7.79636E-05  +3.56684E-03  +6.11935E-02  +2.33300E-01
+9.24623E-01  +6.42400E-05  +3.15204E-03  +5.79976E-02  +2.37146E-01
+9.29648E-01  +5.22295E-05  +2.76070E-03  +5.47211E-02  +2.41033E-01
+9.34673E-01  +4.18179E-05  +2.39327E-03  +5.13633E-02  +2.44963E-01
+9.39698E-01  +3.28909E-05  +2.05020E-03  +4.79234E-02  +2.48936E-01
+9.44724E-01  +2.53344E-05  +1.73195E-03  +4.44009E-02  +2.52951E-01
+9.49749E-01  +1.90341E-05  +1.43898E-03  +4.07950E-02  +2.57008E-01
+9.54774E-01  +1.38758E-05  +1.17174E-03  +3.71050E-02  +2.61110E-01
+9.59799E-01  +9.74545E-06  +9.30691E-04  +3.33304E-02  +2.65254E-01
+9.64824E-01  +6.52869E-06  +7.16291E-04  +2.94702E-02  +2.69442E-01
+9.69849E-01  +4.11136E-06  +5.28995E-04  +2.55240E-02  +2.73674E-01
+9.74874E-01  +2.37926E-06  +3.69261E-04  +2.14910E-02  +2.77950E-01
+9.79899E-01  +1.21818E-06  +2.37545E-04  +1.73705E-02  +2.82271E-01
+9.84925E-01  +5.13920E-07  +1.34305E-04  +1.31618E-02  +2.86636E-01
+9.89950E-01  +1.52273E-07  +5.99954E-05  +8.86433E-03  +2.91045E-01
+9.94975E-01  +1.90341E-08  +1.50750E-05  +4.47727E-03  +2.95500E-01
+1.00000E+00  +0.00000E+00  +0.00000E+00  +0.00000E+00  +3.00000E-01
